epoch,accuracy,loss,val_accuracy,val_loss
1,0.6710000038146973,0.628202497959137,0.8289999961853027,0.4817847013473511
2,0.7390000224113464,0.5502893328666687,0.8550000190734863,0.4439281225204468
3,0.77920001745224,0.5214628577232361,0.8799999952316284,0.3864649832248688
4,0.7865999937057495,0.5023466348648071,0.8640000224113464,0.42809078097343445
5,0.7940000295639038,0.5021585822105408,0.8539999723434448,0.4293648302555084
